"","x"
"360",0.444138709677419
"361",0.424738709677419
"362",0.461874193548387
"363",0.429938709677419
"364",0.420377419354839
"365",0.3153
"366",0.383503225806452
"367",0.493422580645161
"368",0.400106451612903
"369",0.370874193548387
"370",0.280035483870968
"371",0.384887096774194
"372",0.361996774193548
"373",0.375106451612903
"374",0.36878064516129
"375",0.433525806451613
"376",0.44788064516129
"377",0.33841935483871
"378",0.376536666666667
"379",0.390506666666667
"380",0.446677419354839
"381",0.414212903225806
"382",0.433664516129032
"383",0.469790322580645
"384",0.428764516129032
"385",0.449272413793103
"386",0.396903225806452
"387",0.404003225806452
"388",0.379206451612903
"389",0.416383870967742
"390",0.366970967741935
"391",0.356654838709677
"392",0.454109677419355
"393",0.386738709677419
"394",0.471309677419355
"395",0.449596774193548
"396",0.35821935483871
"397",0.337883333333333
"398",0.430758064516129
"399",0.425036666666667
"400",0.430461290322581
"401",0.423477419354839
"402",0.420054838709677
"403",0.440709677419355
"404",0.4778
"405",0.417161290322581
"406",0.388854838709677
"407",0.437487096774194
"408",0.353835483870968
"409",0.428187096774194
"410",0.343587096774194
"411",0.447032258064516
"412",0.451848387096774
"413",0.359667741935484
"414",0.454603225806452
"415",0.417490322580645
"416",0.470090322580645
"417",0.431387096774194
"418",0.391148387096774
"419",0.414248387096774
"420",0.366687096774194
"421",0.360948148148148
"422",0.491958064516129
"423",0.459190322580645
"424",0.322103225806452
"425",0.370806451612903
"426",0.408067741935484
"427",0.39218064516129
"428",0.428333333333333
"429",0.433446666666667
"430",0.406138709677419
"431",0.449558064516129
"432",0.403348387096774
"433",0.380783333333333
"434",0.467103225806452
"435",0.32994
"436",0.379745161290323
"437",0.392993548387097
"438",0.424993548387097
"439",0.452874193548387
"440",0.418161290322581
"441",0.43051935483871
"442",0.441545161290323
"443",0.432025806451613
"444",0.357922580645161
"445",0.49021935483871
"446",0.391261290322581
"447",0.416870967741936
"448",0.439283870967742
"449",0.460325806451613
"450",0.390416129032258
"451",0.417261290322581
"452",0.440325806451613
"453",0.435961290322581
"454",0.41048064516129
"455",0.384967741935484
"456",0.421525806451613
"457",0.42741935483871
"458",0.392841935483871
"459",0.45698064516129
"460",0.424954838709677
"461",0.385776666666667
"462",0.429061290322581
"463",0.370683870967742
"464",0.382232258064516
"465",0.419306666666667
"466",0.474251612903226
"467",0.33914
"468",0.427451612903226
"469",0.413216129032258
"470",0.350570967741935
"471",0.465209677419355
"472",0.401393548387097
"473",0.404638709677419
"474",0.433525806451613
"475",0.403086206896552
"476",0.389067741935484
"477",0.365829032258065
"478",0.372296666666667
"479",0.36784
"480",0.445764516129032
"481",0.405323333333333
"482",0.386875
"483",0.385664516129032
"484",0.431645161290323
"485",0.433877419354839
"486",0.31462
"487",0.459467741935484
"488",0.409561290322581
"489",0.409738709677419
"490",0.44852
"491",0.4703
"492",0.421887096774194
"493",0.429926666666667
"494",0.411535483870968
"495",0.339945161290323
"496",0.382451612903226
"497",0.380283333333333
"498",0.474809677419355
"499",0.392996774193548
"500",0.388216129032258
"501",0.437132258064516
"502",0.444277419354839
"503",0.451283870967742
"504",0.360006451612903
"505",0.402570967741935
"506",0.377838709677419
"507",0.508645161290323
"508",0.475361290322581
"509",0.375170967741935
"510",0.340874193548387
"511",0.474332258064516
"512",0.479153846153846
"513",0.439638709677419
"514",0.39187
"515",0.334838709677419
"516",0.336835483870968
"517",0.360835483870968
"518",0.389148387096774
"519",0.509016129032258
"520",0.375954838709677
"521",0.394525806451613
"522",0.408754838709677
"523",0.435412903225806
"524",0.377838709677419
"525",0.377770967741935
"526",0.424883870967742
"527",0.454835483870968
"528",0.438454838709677
"529",0.436383870967742
"530",0.512409677419355
"531",0.518241935483871
"532",0.377287096774194
"533",0.209496774193548
"534",0.443329032258065
"535",0.376193548387097
"536",0.447048387096774
"537",0.447167741935484
"538",0.440222580645161
"539",0.295438709677419
"540",0.474635483870968
"541",0.429661290322581
"542",0.343893548387097
"543",0.354061290322581
"544",0.413835483870968
"545",0.493748387096774
"546",0.454945161290323
"547",0.387593548387097
"548",0.493270967741936
"549",0.4676
"550",0.4285
"551",0.415564516129032
"552",0.450041935483871
"553",0.346738709677419
"554",0.420541935483871
"555",0.423564516129032
"556",0.362006451612903
"557",0.396858064516129
"558",0.367106451612903
"559",0.44238064516129
"560",0.401187096774194
"561",0.441203225806452
"562",0.421416129032258
"563",0.32538064516129
"564",0.4449
"565",0.476541935483871
"566",0.337803225806452
"567",0.346816129032258
"568",0.454435483870968
"569",0.291207407407407
"570",0.406687096774194
"571",0.342770967741935
"572",0.425458064516129
"573",0.457309677419355
"574",0.448906451612903
"575",0.462164516129032
"576",0.422196774193548
"577",0.426829032258065
"578",0.524909677419355
"579",0.423803225806452
"580",0.426616129032258
"581",0.384541935483871
"582",0.36428064516129
"583",0.473487096774194
"584",0.410258064516129
"585",0.474812903225806
"586",0.381870967741935
"587",0.481712903225806
"588",0.385174193548387
"589",0.419370967741936
"590",0.466590322580645
"591",0.488164516129032
"592",0.343045161290323
"593",0.367606451612903
"594",0.36738275862069
"595",0.433412903225806
"596",0.413532258064516
